data,pedido_id,produto,categoria,quantidade,preco_unitario,canal,cidade,vendedor
2026-01-05,1001,Camiseta Basica,Roupas,3,49.90,Loja Fisica,Sao Paulo,Ana
2026-01-05,1002,Tenis Runner,Calcados,1,299.90,E-commerce,Rio de Janeiro,Bruno
2026-01-06,1003,Jaqueta Jeans,Roupas,2,189.90,Marketplace,Belo Horizonte,Camila
2026-01-06,1004,Mochila Urbana,Acessorios,4,129.90,Loja Fisica,Curitiba,Diego
2026-01-07,1005,Fone Bluetooth,Eletronicos,2,219.90,E-commerce,Porto Alegre,Erica
2026-01-07,1006,Relogio Esportivo,Acessorios,1,399.90,Loja Fisica,Salvador,Felipe
2026-01-08,1007,Calca Slim,Roupas,5,119.90,Marketplace,Sao Paulo,Ana
2026-01-08,1008,Notebook 14,Eletronicos,1,3899.00,E-commerce,Recife,Gustavo
2026-01-09,1009,Mouse Sem Fio,Eletronicos,6,89.90,E-commerce,Fortaleza,Helena
2026-01-09,1010,Boné Street,Acessorios,7,59.90,Loja Fisica,Goiania,Igor
2026-01-10,1011,Saia Midi,Roupas,2,139.90,Marketplace,Campinas,Juliana
2026-01-10,1012,Sandalia Conforto,Calcados,3,159.90,Loja Fisica,Santos,Karina
